Group,List,List_subgroup,List_short_name,List_long_name,Sort,MSFD reporting 2012 (Art. 8-9-10),MSFD reporting 2014 (Art. 11),MSFD reporting 2016 (Art. 13-14),MSFD reporting 2018 (Art. 8-9-10),
Area,Country,Country - EU,UK,United Kingdom,28,Y,Y,Y,Y,
Area,Country,Country - non-EU,IL,Israel,29,Y,Y,Y,Y,
Area,Country,Country - non-EU,IS,Iceland,30,Y,Y,Y,Y,
Area,Country,Country - non-EU,LB,Lebanon,31,Y,Y,Y,Y,
Area,Country,Country - non-EU,LY,Libya,32,Y,Y,Y,Y,
Area,Country,Country - non-EU,MA,Morocco,33,Y,Y,Y,Y,
Area,Country,Country - non-EU,MD,Moldova,34,Y,Y,Y,Y,
Area,Country,Country - non-EU,ME,Montenegro,35,Y,Y,Y,Y,
Area,Country,Country - non-EU,NO,Norway,36,Y,Y,Y,Y,
Area,Country,Country - non-EU,RU,Russia,37,Y,Y,Y,Y,
Area,Country,Country - non-EU,SY,Syria,38,Y,Y,Y,Y,
Area,Country,Country - non-EU,TN,Tunisia,39,Y,Y,Y,Y,
Area,Country,Country - non-EU,TR,Turkey,40,Y,Y,Y,Y,
Area,Country,Country - non-EU,UA,Ukraine,41,Y,Y,Y,Y,
Area,Region/subregion,A - Baltic Sea,BAL or Baltic Sea,Baltic Sea,1,Y,Y,Y,Y,
Area,Region/subregion,B - NE Atlantic Ocean,ATL or Atlantic,North-East Atlantic Ocean,2,Y,Y,Y,Y,
Area,Region/subregion,B - NE Atlantic Ocean,ANS or North Sea,"NE Atlantic: Greater North Sea, incl. Kattegat & English Channel",3,Y,Y,Y,Y,
Area,Region/subregion,B - NE Atlantic Ocean,ACS or Celtic Seas,NE Atlantic: Celtic Seas,4,Y,Y,Y,Y,
Area,Region/subregion,B - NE Atlantic Ocean,ABI or Biscay_Iberia,NE Atlantic: Bay of Biscay & Iberian Coast,5,Y,Y,Y,Y,
Area,Region/subregion,B - NE Atlantic Ocean,AMA or Macaronesia,NE Atlantic: Macaronesia,6,Y,Y,Y,Y,
Area,Region/subregion,C - Mediterranean Sea,MED or Mediterranean,Mediterranean Sea,7,Y,Y,Y,Y,
Area,Region/subregion,C - Mediterranean Sea,MWE or WestMed,Mediterranean: Western Mediterranean Sea,8,Y,Y,Y,Y,
Area,Region/subregion,C - Mediterranean Sea,MAD or Adriatic,Mediterranean: Adriatic Sea,9,Y,Y,Y,Y,
Area,Region/subregion,C - Mediterranean Sea,MIC or Ionian_CentralMed,Mediterranean: Ionian Sea & Central Mediterranean Sea,10,Y,Y,Y,Y,
Area,Region/subregion,C - Mediterranean Sea,MAL or Aegean_Levantine,Mediterranean: Aegean-Levantine Sea,11,Y,Y,Y,Y,
Area,Region/subregion,D - Black Sea,BLK or Black Sea,Black Sea,12,Y,Y,Y,Y,
Area,Subdivision,=assessment area/Marine Reporting Unit,,EEA and MS-defined lists,,Subdivision or Assessment area,Subdivision or Assessment area,Subdivision or Assessment area,Y,
Area type,Assessment area type,Marine Reporting Unit type,Region,Region,1,Y,Y,Y,Y,
Area type,Assessment area type,Marine Reporting Unit type,Subregion,Subregion,2,Y,Y,Y,Y,
Area type,Assessment area type,Marine Reporting Unit type,Subdivision,Subdivision (of a Region or Subregion),3,Y,Y,Y,Y,
Area type,Assessment area type,Marine Reporting Unit type,RegionSubregion_MSpart,MS marine waters part of a Region or Subregion,4,Y,Y,Y,Y,
Area type,Assessment area type,Marine Reporting Unit type,Subdivision_MSpart,MS marine waters part of a Subdivision,5,,,,Y,
Area type,Assessment area type,Marine Reporting Unit type,Subdivision_MSpart_WFD-CW,MS WFD coastal waters part of subdivision,6,,,,Y,
Area type,Assessment area type,Marine Reporting Unit type,Subdivision_MSpart_WFD-TeW,MS WFD territorial waters part of subdivision,7,,,,Y,
Area type,Assessment area type,Marine Reporting Unit type,Subdivision_MSpart_beyondWFD-TeW,MS marine waters beyond territorial waters part of a subdivision,8,,,,Y,
Area type,Assessment area type,Marine Reporting Unit type,WFD_CW,WFD Coastal water body,9,,,,Y,
Area type,Assessment area type,Marine Reporting Unit type,WFD_TeW,WFD Territorial water body,10,,,,Y,
Area type,Assessment area type,Marine Reporting Unit type,AssessmentArea,Assessment area (other),11,Y,Y,Y,,
Area type,Jurisdictional status,For GIS data on MS marine waters,UA_UndisputedArea,"Undisputed area (of MS marine waters, including agreed Continental Shelf areas)",1,Y,,,,
Area type,Jurisdictional status,For GIS data on MS marine waters,DA_DisputedArea,Disputed/unresolved area (of MS marine waters with neighbouring state),2,Y,,,,
Area type,Jurisdictional status,For GIS data on MS marine waters,CS_ShelfSubmission,Continental Shelf area awaiting CLCS outcome,3,Y,,,,
Area type,Jurisdictional status,For GIS data on MS marine waters,JM_JointArea,Jointly managed area (with neighbouring state),4,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,LD_Land,MS land outside marine waters (mainland),5,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,LM_Island,MS land within marine waters (island/rocks),6,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,MS_MSpartRegionSubregion,MS marine waters part of a Region or Subregion,6,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,MW_MarineWaters,MS marine waters (i.e. waters and seabed/subsoil),7,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,SD_Subdivision,MS subdivision,7,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,WC_WaterColumn,MS waters (water column),8,Y,,,,
Area type,Jurisdictional zones,For GIS data on MS marine waters,SS_Seabed,MS seabed and subsoil,9,Y,,,,
Area type,Jurisdictional zones,,MS land/FW,Terrestrial/freshwater part of MS,1,,List: Monitoring zones,List: Implementation zones,Y,
Area type,Jurisdictional zones,,WFD TrW,Transitional waters (WFD),2,,List: Monitoring zones,List: Implementation zones,Y,
Area type,Jurisdictional zones,,WFD CW,Coastal waters (WFD),3,,List: Monitoring zones,List: Implementation zones,Y,
Area type,Jurisdictional zones,,WFD TeW,Territorial waters (WFD) beyond Coastal Waters,4,,List: Monitoring zones,List: Implementation zones,Y,
Area type,Jurisdictional zones,,EEZ,EEZ (or similar e.g. Ecological Protection Zone),5,,List: Monitoring zones,List: Implementation zones,Y,
Area type,Jurisdictional zones,,CS (beyond EEZ/TeW),Continental shelf (beyond EEZ or Territorial waters),6,,List: Monitoring zones,List: Implementation zones,Y,
Area type,Jurisdictional zones,,Beyond MS waters,Beyond MS Marine Waters,7,,List: Monitoring zones,List: Implementation zones,Y,
Assessment,Assessment method,A - Integration rule - conditional rule,OOAO,One-out-all-out,1,,,,Y,
Assessment,Assessment method,A - Integration rule - conditional rule,OOAO_HIE,Hierarchical application of OOAO,2,,,,Y,
Assessment,Assessment method,A - Integration rule - conditional rule,2OAO,Two-out-all-out,3,,,,Y,
Assessment,Assessment method,A - Integration rule - conditional rule,THRES,Threshold methods,4,,,,Y,
Assessment,Assessment method,A - Integration rule - conditional rule,TREE,Decision tree approach,5,,,,Y,
Assessment,Assessment method,B - Integration rule - averaging approach,NHIE_NWEI,"Non-hierarchical, non-weighted averaging",6,,,,Y,
Assessment,Assessment method,B - Integration rule - averaging approach,NHIE_WEI,"Non-hierarchical, weighted averaging",7,,,,Y,
Assessment,Assessment method,B - Integration rule - averaging approach,HIE_NWEI,"Hierarchical, non-weighted averaging",8,,,,Y,
Assessment,Assessment method,B - Integration rule - averaging approach,HIE_WEI,"Hierarchical, weighted averaging",9,,,,Y,
Assessment,Assessment method,C - Integration rule - non-averaging approach,MULTIMETRIC,Multi-metric indices,10,,,,Y,
Assessment,Assessment method,C - Integration rule - non-averaging approach,MULTIVARIATE,Multivariate analyses,11,,,,Y,
Assessment,Assessment method,D - Integration rule - other,SPATIAL,Spatial analysis,12,,,,Y,
Assessment,Assessment method,D - Integration rule - other,OTH,Other,13,,,,Y,
Assessment,Assessment method,D - Integration rule - other,NotRelevant,Not relevant,14,,,,Y,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Assessed,1,Y,,,,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Assessed-quantitatively (F<Fpa),2,Y,,,,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Assessed-quantitatively (F<Fmsy),3,Y,,,,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Assessed-quantitatively (SSB>Bpa),4,Y,,,,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Assessed-quantitatively (SSB>=Bmsy trigger),5,Y,,,,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Assessed-other method (e.g. ratio between catch and biomass index; biomass indices),6,Y,,,,
Assessment,Assessment method - D3,Commercial fish and shellfish stocks,,Not assessed,7,Y,,,,
Assessment,Confidence,,High,High,1,Y,,,,
Assessment,Confidence,,Moderate,Moderate,2,Y,,,,
Assessment,Confidence,,Low,Low,3,Y,,,,
Assessment,Confidence,,NotRelevant,Not relevant,4,Y,,,,
Assessment,Environmental status,A - Parameter achieved,Yes,Yes,1,,,,Y,
Assessment,Environmental status,A - Parameter achieved,Yes-LowRisk,"Yes, based on low risk (describe or refer to where assessment is described in Description field",2,,,,Y,
Assessment,Environmental status,A - Parameter achieved,No,No,3,,,,Y,
Assessment,Environmental status,A - Parameter achieved,Unknown,Unknown,4,,,,Y,
Assessment,Environmental status,A - Parameter achieved,NotAssessed,Not assessed,5,,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",Good,Good,6,Natural conditions: in line,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",Good-LowRisk,"Yes, based on low risk (describe or refer to where assessment is described in Description field",7,,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",NotGood,Not good,8,Natural conditions: altered,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",Unknown,Unknown,9,Natural conditions: Unknown/not assessed,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",NotAssessed,Not assessed,10,Natural conditions: Unknown/not assessed,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",ContributesToAnotherAssessment,Contributes to assessment of another criterion or element,11,,,,Y,
Assessment,Environmental status,"B - Status (criteria, element)",OtherStatus,Other status class (specify),12,Y,,,-,
Assessment,Environmental status,"B - Status (criteria, element)",Descriptive,Description provided (specify),13,Y,,,-,
Assessment,Environmental status,C - Trends - status,Improving,Improving,14,Y,,,y,
Assessment,Environmental status,C - Trends - status,Stable,Stable,15,Y,,,y,
Assessment,Environmental status,C - Trends - status,Deteriorating,Deteriorating,16,Y,,,y,
Assessment,Environmental status,C - Trends - status,Unknown,Unknown,17,Unknown/not assessed,,,Y,
Assessment,Environmental status,C - Trends - status,NotAssessed,Not assessed,18,Unknown/not assessed,,,Y,
Assessment,Environmental status,D - Trends - recent,Increasing,Increasing,19,Y,,,,
Assessment,Environmental status,D - Trends - recent,Stable,Stable,20,Y,,,,
Assessment,Environmental status,D - Trends - recent,Decreasing,Decreasing,21,Y,,,,
Assessment,Environmental status,D - Trends - recent,Unknown/NotAssessed,Unknown/not assessed,22,Y,,,,
Assessment,Environmental status,E - Trends - future,Increase,Increase,23,Y,,,-,
Assessment,Environmental status,E - Trends - future,BeStable,Be stable,24,Y,,,-,
Assessment,Environmental status,E - Trends - future,Decrease,Decrease,25,Y,,,-,
Assessment,Environmental status,E - Trends - future,Unknown/NotAssessed,Unknown/not assessed,26,Y,,,-,
Assessment,Parameter,A - Criteria,TRA,Transparency of water,1,,Transparency of water column,,Y,
Assessment,Parameter,A - Criteria,SPL,Level of sound (continuous),2,,,,Y,
Assessment,Parameter,A - Criteria,LEV-N,Level of sound (impulsive),3,,,,Y,
Assessment,Parameter,A - Criteria,CONC-W,Concentration in water,4,,Concentration of chemical/nutrient/pollutant in water column; Concentration of Chlorophyll a; Concentration of oxygen,,Y,
Assessment,Parameter,A - Criteria,CONC-S,Concentration in sediment,5,,Concentration of chemical/nutrient/pollutant in/on seabed substrate,,Y,
Assessment,Parameter,A - Criteria,CONC-B,Concentration in biota,6,,Concentration of chemical/nutrient/pollutant in biota,,Y,
Assessment,Parameter,A - Criteria,CONC-FMM,Concentration in muscle meat of fish or fishery products,7,,Concentration of chemical/nutrient/pollutant in biota,,Y,
Assessment,Parameter,A - Criteria,CONC-CEPH,Concentration in cephalopods,8,,Concentration of chemical/nutrient/pollutant in biota,,Y,
Assessment,Parameter,A - Criteria,CONC-CRUS,Concentration in crustaceans,9,,Concentration of chemical/nutrient/pollutant in biota,,Y,
Assessment,Parameter,A - Criteria,CONC-MOL,Concentration in bivalve molluscs,10,,Concentration of chemical/nutrient/pollutant in biota,,Y,
Assessment,Parameter,A - Criteria,AMO-WS,Amount on water surface,11,,Quantity and type of litter items; Quantity and type of microparticles,,Y,
Assessment,Parameter,A - Criteria,AMO-C,Amount on coastline,12,,Quantity and type of litter items; Quantity and type of microparticles,,Y,
Assessment,Parameter,A - Criteria,AMO-SB,Amount on seabed,13,,Quantity and type of litter items; Quantity and type of microparticles,,Y,
Assessment,Parameter,A - Criteria,AMO-B,Amount in biota (ingested),14,,Quantity and type of litter in animal stomachs,,Y,
Assessment,Parameter,A - Criteria,PRES,Presence (of a species/element),15,,,,Y,
Assessment,Parameter,A - Criteria,INC,Incidence,16,,,,Y,
Assessment,Parameter,A - Criteria,ABU,Abundance (number of individuals),17,Population size,Quantity and type of non-indigenous species; Quantity and type of microbial pathogens; Population size (abundance); Species abundance (numbers or cover),,Y,
Assessment,Parameter,A - Criteria,BIOM,Biomass,18,,Species abundance (biomass); Population size (biomass),,Y,
Assessment,Parameter,A - Criteria,BIOM-SSB,Biomass of spawning stock (SSB),19,,,,Y,
Assessment,Parameter,A - Criteria,MASS,Mass,20,,,,Y,
Assessment,Parameter,A - Criteria,BIOM-MUSC,Muscle biomass (blubber thickness - nutritional status),21,,,,Y,
Assessment,Parameter,A - Criteria,PROD,Productivity,22,,,,Y,
Assessment,Parameter,A - Criteria,SIZE ,Size (length),23,,Size of individuals (length or weight),,Y,
Assessment,Parameter,A - Criteria,SIZE-D,Size distribution,24,Population condition,,,Y,
Assessment,Parameter,A - Criteria,AGE-D,Age distribution,25,,,,Y,
Assessment,Parameter,A - Criteria,SEX-D,Sex distribution,26,Population condition,Sex,,Y,
Assessment,Parameter,A - Criteria,FEC,Fecundity rate,27,Population condition,Reproduction rate,,Y,
Assessment,Parameter,A - Criteria,BREED,Breeding rate,28,,,,Y,
Assessment,Parameter,A - Criteria,SURV,Survival rate,29,Population condition,Survival rate,,Y,
Assessment,Parameter,A - Criteria,MOR/F,Mortality rate (incl. from fishing - F),30,,"Mortality rate; Mortality/injury rates by a pressure (e.g. ship strikes, litter entanglement, noise); Mortality/damage rates to species from a pressure",,Y,
Assessment,Parameter,A - Criteria,DIST-SPAT,Distribution (spatial),31,Habitat distribution; Species distribution,Spatial distribution/extent of pressure,,Y,
Assessment,Parameter,A - Criteria,DIST-PAT,Distribution (pattern),32,,Species distributional range/pattern; Migration patterns; Habitat distributional range/pattern,,Y,
Assessment,Parameter,A - Criteria,DIST-RANGE,Distribution (range),33,,Species distributional range/pattern; Migration patterns; Habitat distributional range/pattern,,Y,
Assessment,Parameter,A - Criteria,DIST-DEPTH,Distribution (maximum depth),34,,,,Y,
Assessment,Parameter,A - Criteria,HAB-COM,Community state (species composition and relative abundance),35,Habitat condition,,,Y,
Assessment,Parameter,A - Criteria,HAB-SPP,Species composition (of community),36,Condition (species composition),,,Y,
Assessment,Parameter,A - Criteria,HAB-RELABU,Species relative abundance (within community),37,Relative abundance/biomass,,,Y,
Assessment,Parameter,A - Criteria,EXT,Extent,38,Habitat extent,Areal extent of habitat; Extent of man-made/artificial habitat,,Y,
Assessment,Parameter,A - Criteria,FRE,Frequency (temporal),39,,Intensity and temporal frequency of underwater noise,,Y,
Assessment,Parameter,A - Criteria,DUR,Duration,40,,,,Y,
Assessment,Parameter,A - Criteria,OTH,Other,41,,,,Y,
Assessment,Parameter,B - Species - impacts,Composition,Composition and number of retained/landed catch,1,,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - impacts,Composition,Composition and number of discards,2,,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - impacts,Composition,Composition and number of incidental/by-catch,3,,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - impacts,Predation,"Predation rates on eggs, juveniles and/or adults",4,,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - impacts,Disturbance,Disturbance rates by human activities,5,,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - impacts,Alterations,Alterations to habitat (e.g. to breeding areas),6,Habitat of the species,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - population characteristics,Age,Age at maturity,7,Population condition,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - population characteristics,Diet,Diet,8,,Y,,,To be merged with criteria parameters
Assessment,Parameter,B - Species - population characteristics,Life,"Life history stage (e.g. egg, juvenile, adult)",9,Population condition,Y,,,To be merged with criteria parameters
Assessment,Parameter,"B - Species, functional groups, habitats, ecosystems - impacts",Other,Other (specify in Description field),10,Y,,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-biological,Species,Species present (whole community or selected species only),14,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-biological,Proportion,"Proportion of habitat covered by habitat-defining species (e.g. a seagrass, biogenic reef-forming species)",15,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-biological,Stability,"Stability of edges to community (e.g. of seagrass, biogenic reefs)",16,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,Temperature,Temperature,1,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,Salinity,Salinity,2,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,CurrentVelocity,Current velocity,3,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,WaveAction,Wave action,4,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,pH,pH ,5,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,BathymetricDepth,Bathymetric depth,6,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,Freshwater,Freshwater input rates from rivers,7,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,Physical,"Physical structure of habitat (e.g. sediment characteristics, topographic structure)",12,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical,Hydrological,Hydrological conditions of habitat,13,,Y,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical - ice cover duration,None,None,1,Y,,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical - ice cover duration,1-90days,1-90 days,2,Y,,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical - ice cover duration,91-150days,91-150 days,3,Y,,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat condition-physical/chemical - ice cover duration,>150days,>150 days,4,Y,,,,To be merged with criteria parameters
Assessment,Parameter,C - Habitat extent,Area,"Area of dead biota (e.g. rhizomes or dead “matte” of Posidonia meadows, dead maerl or coral)",1,,Y,,,To be merged with criteria parameters
Assessment,Parameter,D - Ecosystem function - impacts,EcosystemStructure,"Ecosystem structure - predominant habitats, functional groups",1,Y,,,,To be merged with criteria parameters
Assessment,Parameter,D - Ecosystem function - impacts,EcosystemFunctionProductivity,Ecosystem function - productivity of key species/groups,2,Y,,,,To be merged with criteria parameters
Assessment,Parameter,D - Ecosystem function - impacts,EcosystemFunctionProportionTopWeb,Ecosystem function - proportion of species at top of food web,3,Y,,,,To be merged with criteria parameters
Assessment,Parameter,D - Ecosystem function - impacts,EcosystemFunctionAbundanceDistribution,Ecosystem function - abundance/distribution of key groups/species,4,Y,,,,To be merged with criteria parameters
Assessment,Parameter,E - Pressure - input level,Input - atmospheric,Input level of chemical/nutrient/pollutant from atmosphere,1,,Y,,,To be merged with criteria parameters
Assessment,Parameter,E - Pressure - input level,Input - land-based,Input level of chemical/nutrient/pollutant from land-based sources,2,,Y,,,To be merged with criteria parameters
Assessment,Parameter,E - Pressure - input level,Input - sea-based,Input level of chemical/nutrient/pollutant from sea-based sources,3,,Y,,,To be merged with criteria parameters
Assessment,Parameter,F - Activity,ActivityDistributionExtent,Spatial distribution/extent of activity,1,,Y,,,To be merged with criteria parameters
Assessment,Parameter,F - Activity,ActivityIntensity,Intensity of activity,2,,Y,,,To be merged with criteria parameters
Assessment,Parameter,F - Activity,ActivityTemporal,Temporal changes in activity,3,,Y,,,To be merged with criteria parameters
Assessment,Parameter,G - Matrix,Water  ,Water  ,1,Hazardous substance matrix,,,,
Assessment,Parameter,G - Matrix,Sediment,Sediment,2,Hazardous substance matrix,,,,
Assessment,Parameter,G - Matrix,Biota,Biota,3,,,,,
Assessment,Parameter,G - Matrix,SedimentBiota,Sediment biota,4,Hazardous substance matrix,,,,
Assessment,Rank,Pressure,1,Most important,1,Y,,,,
Assessment,Rank,Pressure,2,Second most important,2,Y,,,,
Assessment,Rank,Pressure,3,Third most important,3,Y,,,,
Assessment,Rank,Pressure,0,Not known,4,Y,,,,
Assessment,Threshold value type,Reference point type,ThresholdTarget,Target reference point (GES achieved at or above threshold value),1,Y,Y,,,
Assessment,Threshold value type,Reference point type,ThresholdLimit,Limit reference point (GES achieved at or below threshold value),2,Y,Y,,,
Assessment,Unit,GES extent,No. criteria GES,Number of criteria in good status,,,,,Y,
Assessment,Unit,GES extent,No. spp.,Number of species (newly-introduced NIS),,,,,Y,
Assessment,Unit,GES extent,% habitats GES,Proportion (%) of (pelagic/benthic/other) habitat types in good status,,,,,Y,
Assessment,Unit,GES extent,% area GES,Proportion (%) of area in good status,,,,,Y,
Assessment,Unit,GES extent,% ecosystems GES,Proportion (%) of ecosystems in good status,,,,,Y,
Assessment,Unit,GES extent,% spp. GES,Proportion (%) of species in good status within species group,,,,,Y,
Assessment,Unit,GES extent,% substances GES,Proportion (%) of substances in good status,,,,,Y,
Assessment,Unit,Parameter,<1%,Proportion <1%,1,Y,,,,
Assessment,Unit,Parameter,1-5%,Proportion 1-5%,2,Y,,,,
Assessment,Unit,Parameter,5-25%,Proportion 5-25%,3,Y,,,,
Assessment,Unit,Parameter,25-50%,Proportion 25-50%,4,Y,,,,
Assessment,Unit,Parameter,50-75%,Proportion 50-75%,5,Y,,,,
Assessment,Unit,Parameter,75-100%,Proportion 75-100%,6,Y,,,,
Assessment,Unit,Parameter,Unknown/not assessed,Unknown/not assessed,7,Y,,,,
Assessment,Unit,Parameter,{events}/y,(number of) events per year,,,,,Y,
Assessment,Unit,Parameter,{individuals},(number of) individuals,,,,,Y,
Assessment,Unit,Parameter,{species},(number of) species,,,,,Y,
Assessment,Unit,Parameter,Bq/kg ww,Becquerels per kilogram of wet weight,,,,,Y,
Assessment,Unit,Parameter,CPUE,Catch-Per-Unit-Effort,,,,,Y,
Assessment,Unit,Parameter,cm,Centimetre,,,,,Y,
Assessment,Unit,Parameter,d,Days,,,,,Y,
Assessment,Unit,Parameter,d/qrt,days per quarter year,,,,,Y,
Assessment,Unit,Parameter,dB/??,decibel re 1 µPa per unit area (continuous noise),,,,,Y,
Assessment,Unit,Parameter,dB re 1 µPa2,decibel reference 1 microPascal squared second (acute noise),,,,,Y,
Assessment,Unit,Parameter,EQR,Ecological Quality Ratio,,,,,Y,
Assessment,Unit,Parameter,F ,Fishing mortality rate per year,,,,,Y,
Assessment,Unit,Parameter,g/cm,gram per centimetre,,,,,Y,
Assessment,Unit,Parameter,g/ind,gram per individual,,,,,,
Assessment,Unit,Parameter,g/kg,gram per kilogram,,,,,Y,
Assessment,Unit,Parameter,g/kg dw,gram per kilogram of dry weight,,,,,Y,
Assessment,Unit,Parameter,g/m2,gram per square metre,,,,,Y,
Assessment,Unit,Parameter,g/m2d,gram per square metre per day,,,,,Y,
Assessment,Unit,Parameter,ind/6y,individuals per 6 years,,,,,Y,
Assessment,Unit,Parameter,ind/y,individuals per year (mortality rate - fishing/incidental bycatch),,,,,Y,
Assessment,Unit,Parameter,Locations,Locations (occurrences of NIS),,,,,Y,
Assessment,Unit,Parameter,meanVDSI,mean vas deferens sequence index (gastropod imposex),,,,,Y,
Assessment,Unit,Parameter,m,metre,,,,,Y,
Assessment,Unit,Parameter,µg/kg dw,microgram per kilogram of dry weight,,,,,Y,
Assessment,Unit,Parameter,µg/kg ww,microgram per kilogram of wet weight,,,,,Y,
Assessment,Unit,Parameter,µg/L,microgram per litre,,,,,Y,
Assessment,Unit,Parameter,µmol/L,micromole per litre,,,,,Y,
Assessment,Unit,Parameter,mg/kg,milligram per kilogram,,,,,,
Assessment,Unit,Parameter,mg/kg ww,milligram per kilogram of wet weight,,,,,Y,
Assessment,Unit,Parameter,mg/L,milligram per litre,,,,,Y,
Assessment,Unit,Parameter,mm,millimetre,,,,,Y,
Assessment,Unit,Parameter,min,minute,,,,,Y,
Assessment,Unit,Parameter,days/yr,"number of days per year (HABs, acute pollution events)",,,,,Y,
Assessment,Unit,Parameter,events/yr,number of events per year (HABs),,,,,Y,
Assessment,Unit,Parameter,items/100m,number of items per 100 meters,,,,,Y,
Assessment,Unit,Parameter,items/cm,number of items per centimetre,,,,,Y,
Assessment,Unit,Parameter,items/kg,number of items per kilogram,,,,,Y,
Assessment,Unit,Parameter,items/kg dw,number of items per kilogram of dry weight,,,,,Y,
Assessment,Unit,Parameter,items/m,number of items per meter,,,,,,
Assessment,Unit,Parameter,items/km2,number of items per square kilometre,,,,,Y,
